readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
1256c029-6eee-4281-be53-b03b036f47d9	unclassified	0	0	0	0	326	1
6cf44e80-9e4f-465a-929b-7cebfaae693a	unclassified	0	0	0	0	1032	1
85917169-174c-490b-a0d3-3417308315e2	unclassified	0	0	0	0	231	1
c3b3557c-c17e-4bba-8d0b-4dccf320f16d	unclassified	0	0	0	0	177	1
a9e7ec1e-4dfe-41e0-8489-16fe63ea0254	unclassified	0	0	0	0	318	1
1a3135c4-b224-47b7-b93c-4ffd59fb10e7	unclassified	0	0	0	0	335	1
d48c547e-acb9-4836-8f46-72e580445427	unclassified	0	0	0	0	771	1
b3867da2-acbe-4dca-a60d-6a62d6e5faac	unclassified	0	0	0	0	1067	1
dfbb616e-4569-48f8-b15b-05b67c783a19	unclassified	0	0	0	0	587	1
8aac8217-bae2-436a-b439-a295e18f5e1b	unclassified	0	0	0	0	389	1
4124f75e-b897-4951-80aa-c1e6f3228643	unclassified	0	0	0	0	3459	1
63b9e650-98bd-4b42-b7d0-27f07bf06d90	unclassified	0	0	0	0	267	1
3a69f208-e135-4dd8-9437-d794b4a25c9e	unclassified	0	0	0	0	349	1
0191b7e5-9d7b-46a0-90fa-750cd9c616a6	unclassified	0	0	0	0	389	1
7100b2fc-8dc5-4820-ab60-a45dc9934c84	unclassified	0	0	0	0	972	1
6f08e6c8-d2ad-438b-a6e7-b4a872b21ec5	unclassified	0	0	0	0	216	1
f897fab4-f0ff-4321-9be7-2117f9ea00a3	unclassified	0	0	0	0	163	1
4b0e2620-5de0-4cac-b341-fb6732982ace	unclassified	0	0	0	0	1015	1
a3f544b1-f879-4a4f-bfa3-00dd7f118907	unclassified	0	0	0	0	709	1
974fa5cc-b941-4597-aaaf-7b6da977b8b1	unclassified	0	0	0	0	3756	1
1b7083c0-f5bb-42cb-ad2a-6f88b92d8998	unclassified	0	0	0	0	529	1
4e06d643-1473-4f56-8dc1-82f7f7ba1da0	unclassified	0	0	0	0	247	1
9527c72d-f4de-430c-bb3c-44f53b9b91db	unclassified	0	0	0	0	252	1
c64b0e86-91dd-45d1-bce4-b5f6e81860bc	unclassified	0	0	0	0	286	1
f0408a72-1063-4529-b6be-9ae49da186f4	unclassified	0	0	0	0	245	1
9fdc9f30-ee61-45aa-aefc-c792608193ea	unclassified	0	0	0	0	249	1
542e986d-687d-43e8-8e03-707238e8f66c	unclassified	0	0	0	0	585	1
1aeb59c8-07fa-4115-82c3-e690d849ccd0	unclassified	0	0	0	0	440	1
7ecf1098-f18c-483d-8a09-87bb6c51b885	unclassified	0	0	0	0	155	1
85bea12e-6550-4134-be4c-8ecd3ed667cd	unclassified	0	0	0	0	310	1
8f5bf121-7f6a-433e-ac78-cab6af241e68	unclassified	0	0	0	0	1702	1
4882f374-9343-4ed1-b594-c193737e5d5b	unclassified	0	0	0	0	1256	1
58576e58-236d-463f-b4b0-269330fd6595	unclassified	0	0	0	0	4385	1
6bca63f1-26ab-4195-a1fa-8fcb661099d9	unclassified	0	0	0	0	168	1
141c211b-1a65-42db-8c2a-3ebd3eb4b855	unclassified	0	0	0	0	1306	1
69da7837-ea7e-499f-8500-61f19ccb0237	unclassified	0	0	0	0	376	1
d3d73ccb-7b47-4489-838a-349bf9c47eed	unclassified	0	0	0	0	311	1
38c170f2-731e-4b8b-94d7-e13c6fc049d4	unclassified	0	0	0	0	429	1
