tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
312312	Calosphaeria pulchella	Calosphaeria	Calosphaeriaceae	Calosphaeriales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota			
1307	Streptococcus suis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
257277	Nocardia aobensis	Nocardia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
418240	Blautia wexlerae	Blautia	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
1607738	Staphylococcus argensis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
2039	Tropheryma whipplei	Tropheryma	Tropherymataceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
851	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteriota		Bacteria			
1249101	Mycolicibacterium celeriflavum	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
2565323	Thyrostroma jaczewskii	Thyrostroma			Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			
2545983	Pseudoroseomonas coralli	Pseudoroseomonas	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota		Bacteria			
43655	Pseudoalteromonas citrea	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota		Bacteria			
2509458	Microbacterium protaetiae	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
365049	Salinicoccus salsiraiae	Salinicoccus	Staphylococcaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
39778	Veillonella dispar	Veillonella	Veillonellaceae	Veillonellales	Negativicutes	Bacillota	Terrabacteria group	Bacteria			
2692177	Duganella fentianensis	Duganella	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
56456	Xanthomonas melonis	Xanthomonas	Lysobacteraceae	Lysobacterales	Gammaproteobacteria	Pseudomonadota		Bacteria			
1968283	Natronoarchaeum persicum	Natronoarchaeum	Natronoarchaeaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2153276	Parapaucispora pseudoarmatispora	Parapaucispora	Lophiostomataceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			
2750967	Bifidobacterium polysaccharolyticum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
2583422	Hebeloma angustilamellatum	Hebeloma	Hymenogastraceae	Agaricales	Agaricomycetes	Basidiomycota	Opisthokonta	Eukaryota			
1523158	Mesobacillus rigiliprofundi	Mesobacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
2014873	Dictyobacter alpinus	Dictyobacter	Dictyobacteraceae	Ktedonobacterales	Ktedonobacteria	Chloroflexota	Terrabacteria group	Bacteria			
1543375	Aeromonas finlandensis	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota		Bacteria			
2268024	Ephemeroptericola cinctiostellae	Ephemeroptericola	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
2787628	Treponema peruense	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetota		Bacteria			
690867	Cryptosporangium mongoliense	Cryptosporangium	Cryptosporangiaceae	Cryptosporangiales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
318464	Clostridium sulfidigenes	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
96940	Orenia sivashensis	Orenia	Halobacteroidaceae	Halanaerobiales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
936338	Planobispora siamensis	Planobispora	Streptosporangiaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
356322	Heliorestis convoluta	Heliorestis	Heliobacteriaceae	Eubacteriales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
244292	Mycobacterium nebraskense	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
2696468	Flagellimonas sediminis	Flagellimonas	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria			
1547895	Sinosporangium fuscum	Sinosporangium	Streptosporangiaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
3046805	Blackwellomyces kaihuaensis	Blackwellomyces	Cordycipitaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota			
80866	Delftia acidovorans	Delftia	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
44671	Pelotalea chapellei	Pelotalea	Geobacteraceae	Geobacterales	Desulfuromonadia	Thermodesulfobacteriota		Bacteria			
1441821	Helcococcus seattlensis	Helcococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Bacillota	Terrabacteria group	Bacteria			
2038737	Flavobacterium ardleyense	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria			
