name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Myxococcaceae	31	family	0	1	0	0.0
Archangiaceae	39	family	0	1	0	0.0
Stella humosa	94	species	5832650	2	0	0.0
Spirochaeta thermophila	154	species	0	1	0	0.0
Campylobacter jejuni	197	species	350440741	1	0	0.0
Helicobacter pylori	210	species	438828474	5	3	0.0
Pseudomonas aeruginosa	287	species	3070625948	1	0	0.0
Hyphomicrobiales	356	order	0	4	0	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	52584484	2	0	0.0
Methylococcus capsulatus	414	species	13183044	2	0	0.0
Acetobacter aceti	435	species	7692929	2	0	0.0
Acinetobacter baumannii	470	species	1875884396	22	0	0.0
Neisseria meningitidis	487	species	232616985	1	0	0.0
Enterobacteriaceae	543	family	0	3	0	0.0
Escherichia coli	562	species	10143976665	1	0	0.0
Klebsiella pneumoniae	573	species	6955559347	2	0	0.0
Proteus mirabilis	584	species	388217410	1	0	0.0
Serratia	613	genus	0	1	0	0.0
Aeromonas caviae	648	species	166843152	3	0	0.0
Aeromonas veronii	654	species	138676447	2	0	0.0
Vibrio	662	genus	0	1	0	0.0
Vibrio campbellii	680	species	75139958	1	0	0.0
Plesiomonas shigelloides	703	species	15080228	3	0	0.0
Avibacterium paragallinarum	728	species	34777564	1	1	0.0
Pasteurella multocida	747	species	226596962	2	0	0.0
Bacteroides thetaiotaomicron	818	species	102799941	1	1	0.0
Butyrivibrio	830	genus	0	1	0	0.0
Faecalibacterium prausnitzii	853	species	35178940	8	1	0.0
Anaplasmataceae	942	family	0	1	0	0.0
Beggiatoa	1021	genus	0	1	0	0.0
Blastochloris viridis	1079	species	11174693	2	0	0.0
Chlorobium phaeovibrioides	1094	species	2017051	1	0	0.0
Chlorobium phaeobacteroides	1096	species	0	1	0	0.0
Cyanobacteria	1117	phylum	0	1	0	0.0
Proteobacteria	1224	phylum	0	2	0	0.0
Gammaproteobacteria	1236	class	0	12	0	0.0
Firmicutes	1239	phylum	0	2	0	0.0
Pediococcus acidilactici	1254	species	52743478	1	0	0.0
Pediococcus pentosaceus	1255	species	38568037	2	1	0.0
Ruminococcus	1263	genus	0	7	0	0.0
Ruminococcus albus	1264	species	0	7	0	0.0
Staphylococcus	1279	genus	0	2	0	0.0
Staphylococcus aureus	1280	species	2407768036	4	4	0.0
Staphylococcus epidermidis	1282	species	301715820	1	1	0.0
Staphylococcus haemolyticus	1283	species	48533368	1	0	0.0
Streptococcus	1301	genus	0	7	0	0.0
Streptococcus thermophilus	1308	species	143236466	15	5	0.0
Streptococcus pneumoniae	1313	species	237851568	2	0	0.0
Streptococcus pyogenes	1314	species	424822574	5	5	0.0
Streptococcus dysgalactiae	1334	species	15527547	1	0	0.0
Enterococcus	1350	genus	0	2	0	0.0
Enterococcus faecalis	1351	species	409574733	1	0	0.0
Enterococcus faecium	1352	species	792840219	12	2	0.0
Enterococcus gallinarum	1353	species	21327526	2	0	0.0
