name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Acinetobacter baumannii	470	species	1875884396	1	0	0.0
Moraxella	475	genus	0	1	0	0.0
Neisseria meningitidis	487	species	232616985	1	0	0.0
Escherichia coli	562	species	10143976665	1	0	0.0
Vibrio vulnificus	672	species	99103064	1	1	0.0
Piscirickettsia salmonis	1238	species	276337553	2	1	0.0
Staphylococcus aureus	1280	species	2407768036	9	9	0.0
Staphylococcus simulans	1286	species	52137033	1	0	0.0
Lactococcus	1357	genus	0	1	0	0.0
Bacillus anthracis	1392	species	471360814	1	1	0.0
Clostridioides difficile	1496	species	442652010	2	0	0.0
Clostridium septicum	1504	species	10239405	1	0	0.0
Clostridium beijerinckii	1520	species	43424194	4	2	0.0
Kitasatospora	2063	genus	0	1	0	0.0
Brachyspira	29521	genus	0	1	0	0.0
Blautia producta	33035	species	12600145	1	1	0.0
Corynebacterium amycolatum	43765	species	15775323	1	1	0.0
Caloranaerobacter azorensis	116090	species	2539490	1	0	0.0
Psychromonas ingrahamii 37	357804	strain	4559598	1	0	0.0
Desulfofarcimen acetoxidans DSM 771	485916	strain	4545624	2	1	0.0
Christensenella minuta	626937	species	2969292	3765	3758	0.0
Desulfosporosinus acidiphilus SJ4	646529	strain	4991181	1	0	0.0
Fimbriimonas ginsengisoli Gsoil 348	661478	strain	5231762	1	0	0.0
Desulfoscipio gibsoniae DSM 7213	767817	strain	4855529	1	0	0.0
Desulfosporosinus meridiei DSM 13257	768704	strain	4873567	1	0	0.0
Desulfitobacterium metallireducens DSM 15288	871968	strain	3176073	1	0	0.0
Microlunatus phosphovorus NM-1	1032480	strain	5683123	1	0	0.0
Staphylococcus aureus subsp. aureus ST228	1074919	strain	22318508	2	0	0.0
Sphaerochaeta associata	1129264	species	3554903	8	8	0.0
Corynebacterium pseudotuberculosis Cp162	1161911	strain	2382103	3	3	0.0
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110357	1244111	strain	4678418	1	1	0.0
Bacterioplanes sanyensis	1249553	species	4293726	1	0	0.0
Spiroplasma phoeniceum P40	1276259	strain	1908276	1	1	0.0
Peptoclostridium acidaminophilum DSM 3953	1286171	strain	3055036	2	2	0.0
Clostridium autoethanogenum DSM 10061	1341692	strain	8710150	1	0	0.0
Bacillus cereus D17	1454382	strain	5590358	1	1	0.0
Candidatus Dehalogenimonas etheniformans	1536648	species	2068322	1	0	0.0
Acididesulfobacillus acetoxydans	1561005	species	4520225	1	0	0.0
Dehalogenimonas formicexedens	1839801	species	2092789	1	0	0.0
Ndongobacter massiliensis	1871025	species	1864878	1	0	0.0
Brevefilum fermentans	1986204	species	2574431	1	0	0.0
Christensenella sp. Marseille-P3954	2086585	species	2422126	4	0	0.0
Peterkaempfera bronchialis	2126346	species	7090212	1	0	0.0
Streptacidiphilus sp. P02-A3a	2704468	species	9330052	1	0	0.0
Streptacidiphilus sp. PB12-B1b	2705012	species	7672494	1	0	0.0
Bacillus sp. KH172YL63	2709784	species	4251700	1	0	0.0
Paenibacillus sp. URB8-2	2741301	species	5583866	1	0	0.0
Dyella telluris	2763498	species	4991029	1	1	0.0
Terrisporobacter sp. MCA3	2813371	species	4116837	1	0	0.0
Sedimentibacter sp. zth1	2816908	species	3133930	1	1	0.0
Sulfidibacter corallicola	2818388	species	11786365	1	0	0.0
Aquihabitans sp. G128	2849779	species	4938963	1	0	0.0
Tepidibacter sp. 8C15b	2925782	species	3666533	1	0	0.0
Halobacillus sp. SSHM10-5	2932259	species	4299351	1	0	0.0
