name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Cellvibrio	10	genus	0	1	0	0.0
Myxococcus	32	genus	0	1	0	0.0
Archangiaceae	39	family	0	1	0	0.0
Lysobacter	68	genus	0	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	2	0	0.0
Leptospira	171	genus	0	1	0	0.0
Helicobacter pylori	210	species	438828474	3	1	0.0
Alteromonas	226	genus	0	8	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	1	1	0.0
Thermus	270	genus	0	1	0	0.0
Comamonas	283	genus	0	1	0	0.0
Pseudomonas	286	genus	0	578	258	0.0
Pseudomonas aeruginosa	287	species	3070625948	656	312	0.0
Burkholderia cepacia	292	species	116666883	1	0	0.0
Pseudomonas fluorescens	294	species	173760158	448	172	0.0
Pseudomonas fragi	296	species	25614154	2	1	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	1	0	0.0
Pseudomonas mendocina	300	species	26590103	4	0	0.0
Pseudomonas oleovorans	301	species	5626754	1	0	0.0
Pseudomonas putida	303	species	252816335	349	180	0.0
Ralstonia solanacearum	305	species	572965844	8	6	0.0
Pseudomonas sp.	306	species	18084344	15	5	0.0
Stutzerimonas stutzeri	316	species	101998419	312	96	0.0
Pseudomonas syringae	317	species	66631566	10	1	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	9	8	0.0
Azotobacter chroococcum	353	species	10098779	248	4	0.0
Hyphomicrobiales	356	order	0	5	0	0.0
Rhizobium	379	genus	0	1	0	0.0
Methylococcaceae	403	family	0	3	0	0.0
Methylococcus capsulatus	414	species	13183044	4	0	0.0
Methylomonas methanica	421	species	0	1	0	0.0
Acetobacteraceae	433	family	0	1	0	0.0
Acetobacter aceti	435	species	7692929	1	0	0.0
Gluconobacter oxydans	442	species	3606417	1	0	0.0
Legionellaceae	444	family	0	2	0	0.0
Legionella	445	genus	0	4	1	0.0
Legionella longbeachae	450	species	25231216	1	1	0.0
Moraxellaceae	468	family	0	1	0	0.0
Acinetobacter	469	genus	0	1	0	0.0
Acinetobacter baumannii	470	species	1875884396	22	11	0.0
Moraxella	475	genus	0	3	1	0.0
Moraxella catarrhalis	480	species	21134302	1	0	0.0
Neisseria	482	genus	0	3	0	0.0
Neisseria meningitidis	487	species	232616985	2	0	0.0
Alcaligenaceae	506	family	0	1	0	0.0
Chromobacterium	535	genus	0	1	0	0.0
Enterobacteriaceae	543	family	0	4	0	0.0
Citrobacter freundii	546	species	493073593	2	0	0.0
Enterobacter	547	genus	0	2	0	0.0
Klebsiella aerogenes	548	species	202369284	5	0	0.0
Escherichia	561	genus	0	2	0	0.0
