name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Cellvibrio	10	genus	0	3	0	0.0
Shewanella	22	genus	0	1	0	0.0
Sorangium cellulosum	56	species	40417900	1	0	0.0
Lysobacter	68	genus	0	1	0	0.0
Campylobacter jejuni	197	species	350440741	1	0	0.0
Helicobacter pylori	210	species	438828474	5	5	0.0
Alteromonas	226	genus	0	3	0	0.0
Brucella	234	genus	0	1	0	0.0
Brucella abortus	235	species	42652656	1	1	0.0
Paracoccus denitrificans	266	species	10479359	1	0	0.0
Pseudomonas	286	genus	0	487	229	0.0
Pseudomonas aeruginosa	287	species	3070625948	555	282	0.0
Pseudomonas fluorescens	294	species	173760158	372	157	0.0
Pseudomonas fragi	296	species	25614154	4	4	0.0
Pseudomonas mendocina	300	species	26590103	1	0	0.0
Pseudomonas putida	303	species	252816335	288	154	0.0
Ralstonia solanacearum	305	species	572965844	9	7	0.0
Pseudomonas sp.	306	species	18084344	13	3	0.0
Stutzerimonas stutzeri	316	species	101998419	243	78	0.0
Pseudomonas syringae	317	species	66631566	7	2	0.0
Pseudomonas syringae pv. syringae	321	leaf	24206884	3	3	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	5	5	0.0
Xanthomonas translucens	343	species	13968894	1	0	0.0
Xanthomonas oryzae	347	species	44795392	2	0	0.0
Azotobacter chroococcum	353	species	10098779	193	2	0.0
Hyphomicrobiales	356	order	0	2	0	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	52584484	1	1	0.0
Methylococcaceae	403	family	0	1	0	0.0
Methylococcus	413	genus	0	1	0	0.0
Methylococcus capsulatus	414	species	13183044	1	0	0.0
Gluconobacter oxydans	442	species	3606417	1	0	0.0
Legionella	445	genus	0	2	1	0.0
Legionella longbeachae	450	species	25231216	1	0	0.0
Moraxellaceae	468	family	0	1	0	0.0
Acinetobacter	469	genus	0	1	0	0.0
Acinetobacter baumannii	470	species	1875884396	15	9	0.0
Moraxella	475	genus	0	1	0	0.0
