readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
76a09e44-d54d-4c09-b31b-68147a9f66d2	unclassified	0	0	0	0	299	1
bc035137-7a77-439e-a53c-b279379627ff	unclassified	0	0	0	0	892	1
3cdaf150-6016-48a3-8ef1-e69adce9584a	unclassified	0	0	0	0	1007	1
b726079a-910a-4fe4-8433-69f36d0441ee	unclassified	0	0	0	0	441	1
c5b4a8c8-cf3d-4b03-9100-3639c6b0725c	unclassified	0	0	0	0	577	1
192ef1f4-76db-4f36-8032-e31261292a75	unclassified	0	0	0	0	593	1
5a8508b9-9d93-4e67-8e5e-e171dfaa147a	unclassified	0	0	0	0	3381	1
d2d0f6ba-691e-47c5-b63c-f91bdc1d2466	unclassified	0	0	0	0	586	1
b6dbcc91-43e4-4ea3-8a7f-ca6dc1d35a34	unclassified	0	0	0	0	1281	1
bd0e6313-0adb-4807-8f49-f017379aa9fd	unclassified	0	0	0	0	684	1
93319270-f696-4417-923c-15917cec4ca0	unclassified	0	0	0	0	1775	1
b43ca000-f24b-4961-8b2c-c92b02990530	unclassified	0	0	0	0	2690	1
323279ef-038a-4a09-82e4-541f5fa0d24f	unclassified	0	0	0	0	280	1
75318622-d3ff-4aaf-a7e4-291fbca203ab	unclassified	0	0	0	0	3202	1
d6712702-ccbe-4fc2-9367-c873dcb143e0	unclassified	0	0	0	0	527	1
194c97e3-6c1a-4604-9f62-9bd1e19d04e7	unclassified	0	0	0	0	597	1
219616c2-8d80-45f1-9dd2-f3e7eec49892	unclassified	0	0	0	0	591	1
9f9d2d3e-d32a-46cc-a307-1ca493e808b6	unclassified	0	0	0	0	1246	1
3fcc2ac1-eec9-498c-97b0-3a58f9a85fac	unclassified	0	0	0	0	797	1
99f7e6b6-17ac-4764-8be8-518fca85c5d2	unclassified	0	0	0	0	1305	1
545c641e-27d0-426b-bb7e-40be6fb69f68	unclassified	0	0	0	0	503	1
e896b2bb-1fe6-43a6-af11-80cf1b0769bc	unclassified	0	0	0	0	966	1
7ff107b0-6fbd-4866-bdc6-03a1fe42c8c6	subkingdom	451864	289	289	32	2016	1
746a4bd7-adcf-4311-85c3-ad5496a40bbd	unclassified	0	0	0	0	1217	1
250f40f0-d83d-40b4-a6ec-491caa0949d2	unclassified	0	0	0	0	443	1
